task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	2b/9fea5a	35577	STAR_GENCODE (IGIB113002393366_Severe_M)	COMPLETED	0	2025-06-20 18:29:32.982	11m 29s	11m 22s	1240.9%	41.3 GB	44.8 GB	43.2 GB	6.9 GB
4	d9/2ea309	35573	STAR_GENCODE (IGIB113002364921_Mild_M)	COMPLETED	0	2025-06-20 18:29:13.014	21m 24s	21m 19s	1615.7%	41.8 GB	44.6 GB	72.4 GB	22.9 GB
5	fb/019f9c	35574	STAR_GENCODE (IGIB1130658717_Moderate_M)	COMPLETED	0	2025-06-20 18:29:18.562	27m 23s	27m 19s	1619.9%	41.6 GB	44.7 GB	73.7 GB	32.3 GB
2	f0/90112c	35571	STAR_GENCODE (IGIB113001484596_Mild_M)	COMPLETED	0	2025-06-20 18:29:05.889	28m 21s	28m 20s	1615.7%	41.6 GB	44.6 GB	55.2 GB	13 GB
3	9e/c531b2	35572	STAR_GENCODE (IGIB113001664199_Moderate_FEMALE)	COMPLETED	0	2025-06-20 18:29:08.310	34m 28s	34m 27s	1692.9%	41.6 GB	44.6 GB	64 GB	17.5 GB
1	18/0e97c2	35570	STAR_GENCODE (IGIB1130170839_Moderate_MALE)	FAILED	1	2025-06-20 18:28:59.432	2h 31m 14s	2h 31m 12s	-	-	-	-	-
6	f6/c91aea	35575	STAR_GENCODE (IGIB1130259871_Severe_FEMALE)	ABORTED	-	2025-06-20 18:29:27.264	-	-	-	-	-	-	-
7	bd/5f7985	35576	STAR_GENCODE (IGIB113002320529_Mild_FEMALE)	ABORTED	-	2025-06-20 18:29:31.761	-	-	-	-	-	-	-
