task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	4e/770dbf	12883	FEATURE_COUNTS_1 (DEN0251_Nextseq_Severe)	COMPLETED	0	2025-06-04 09:42:37.863	4.4s	3s	808.0%	999.9 MB	4.9 GB	1.4 GB	29.6 MB
1	8a/087836	12879	FEATURE_COUNTS_1 (DEN0084_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:42:37.631	9.6s	4.5s	627.1%	1 GB	4.9 GB	2.5 GB	29.6 MB
2	d2/6db79f	12880	FEATURE_COUNTS_1 (DEN0121_Aviti_Severe)	COMPLETED	0	2025-06-04 09:42:37.699	9.5s	7.7s	880.8%	1 GB	4.9 GB	5.5 GB	29.6 MB
3	3d/53ea6a	12881	FEATURE_COUNTS_1 (IGIB11301144292n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:42:37.733	9.5s	5.4s	487.7%	1 GB	4.9 GB	1.8 GB	29.6 MB
6	e8/6403a8	12884	FEATURE_COUNTS_1 (DEN0258_Nextseq_Severe)	COMPLETED	0	2025-06-04 09:42:37.927	9.3s	3.8s	1236.6%	1018.1 MB	5 GB	2.4 GB	29.5 MB
4	f6/5a99d6	12882	FEATURE_COUNTS_1 (DEN0048_Aviti_Severe)	COMPLETED	0	2025-06-04 09:42:37.818	9.4s	6.8s	430.1%	1016.9 MB	4.9 GB	2.5 GB	29.6 MB
7	b0/00c2f9	12885	FEATURE_COUNTS_1 (IGIB1130398710n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:42:37.967	9.3s	4.4s	803.8%	1 GB	4.9 GB	2.3 GB	29.6 MB
8	10/10374d	12886	FEATURE_COUNTS_1 (IGIB11305135728n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:42:38.027	9.2s	3.9s	859.9%	1013.9 MB	4.9 GB	1.8 GB	29.6 MB
12	ea/d76c31	12890	FEATURE_COUNTS_1 (DEN0010_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:42:38.307	13.9s	5.9s	1110.7%	1 GB	4.9 GB	5.6 GB	29.6 MB
13	e9/8797b0	12891	FEATURE_COUNTS_1 (IGIB1130398948n_Nextseq_Negative)	COMPLETED	0	2025-06-04 09:42:38.413	13.8s	4.1s	973.6%	1 GB	4.9 GB	2.9 GB	29.7 MB
16	70/371375	12894	FEATURE_COUNTS_1 (DEN0280_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:42:38.572	18.6s	5.1s	1265.8%	1 GB	5 GB	5 GB	29.6 MB
17	f3/9f60b1	12895	FEATURE_COUNTS_1 (DEN0278_Aviti_Non-Severe)	COMPLETED	0	2025-06-04 09:42:38.624	18.6s	4.2s	881.1%	1020.3 MB	4.9 GB	3.2 GB	29.6 MB
18	94/0ff8d8	12896	FEATURE_COUNTS_1 (DEN0160_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:42:38.688	23.5s	3.7s	1077.5%	1 GB	5 GB	2.6 GB	29.6 MB
10	c8/95df46	12888	FEATURE_COUNTS_1 (DEN0123_Nextseq_Non-Severe)	COMPLETED	0	2025-06-04 09:42:38.142	29.1s	21s	509.4%	1015.7 MB	4.9 GB	7 GB	29.6 MB
14	58/0a7b84	12892	FEATURE_COUNTS_1 (DEN0235_Aviti_Severe)	COMPLETED	0	2025-06-04 09:42:38.454	28.7s	17.1s	349.3%	1 GB	4.9 GB	5.1 GB	29.6 MB
15	57/85898c	12893	FEATURE_COUNTS_1 (DEN0026_Aviti_Severe)	COMPLETED	0	2025-06-04 09:42:38.516	28.7s	16.1s	368.3%	1020.3 MB	4.9 GB	5.3 GB	29.6 MB
